switch,duration,n_packets,n_bytes,dl_src,dl_dst,nw_src,nw_dst,tp_src,tp_dst,actions,packets_per_s,bytes_per_s
s1,13.276,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,13.274,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,13.464,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,13.460,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,14.048,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,14.046,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,14.243,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,14.239,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,14.857,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,14.855,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,15.051,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,15.047,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,15.659,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,15.657,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,15.849,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,15.845,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,16.435,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,16.433,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,16.631,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,16.627,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,17.225,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,17.223,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,17.416,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,17.412,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,18.010,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,18.008,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,18.209,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,18.205,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,18.789,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,18.787,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,18.970,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,18.966,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,19.574,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,19.572,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,19.767,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,19.763,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,20.320,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,20.318,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,20.505,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,20.501,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,21.049,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,21.047,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,21.235,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,21.231,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,21.782,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,21.780,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,21.967,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,21.963,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,22.524,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,22.522,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,22.706,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,22.702,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,23.259,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,23.257,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,23.441,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,23.437,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,23.984,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,23.982,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,24.168,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,24.164,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,24.719,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,0,0
s1,24.717,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s2,24.906,11,1078,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,0,0
s2,24.902,11,1078,6e:e8:6b:d4:bd:b4,e6:51:70:3c:0f:62,,,,,output:4,0,0
s1,0.002,7953,1383822,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,7942,1382744
s2,0.002,28733,4999542,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:5,28722,4998464
s1,1.058,81829,14238246,e6:51:70:3c:0f:62,6e:e8:6b:d4:bd:b4,,,,,output:1,73876,12854424
